"Image","Title","Rating","Price","Ad_Type"
"https://m.media-amazon.com/images/I/61aQ9BYq89L._AC_UY218_.jpg","Lenovo Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA","3.9","₹21,990","Organic"
"https://m.media-amazon.com/images/I/718UBZxpxrL._AC_UY218_.jpg","acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","4.0","₹45,990","Organic"
"https://m.media-amazon.com/images/I/61h78UMEXjL._AC_UY218_.jpg","Apple 2026 MacBook Pro Laptop with M5 Max chip with 18‑core CPU and 32‑core GPU: Built for AI, 41.05 cm (16.2″) Liquid Retina XDR Display, 36GB Unified Memory, 2TB SSD Storage; Space Black","4.3","₹4,21,990","Ad"
"https://m.media-amazon.com/images/I/71eX66ytH+L._AC_UY218_.jpg","Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight","4.6","₹1,10,290","Ad"
"https://m.media-amazon.com/images/I/61vTx-Qa1QL._AC_UY218_.jpg","Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo","4.7","₹65,000","Ad"
"https://m.media-amazon.com/images/I/71FVyverqHL._AC_UY218_.jpg","HP 15, AMD Ryzen 5 7520U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Offic24, Silver,1.59kg, fc0806AU, FHD Camera w/Privacy Shutter, Backlit Laptop","N/A","₹67,990","Ad"
"https://m.media-amazon.com/images/I/71ZlIDunitL._AC_UY218_.jpg","HP Smartchoice OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365(1yr)* Office24, Silver, 1.35kg, he0014QU, Next-Gen AI Laptop","4.2","₹79,990","Organic"
"https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg","Lenovo Ideapad Slim 3, 13th Gen Intel Core i7 13620H, 16GB RAM, 512GB SSD, WUXGA IPS, 15.3""/38.8cm, Win 11, Office 2024, Top Metal Cover Grey, 1.6Kg, 83K100CJIN/S1IN, Backlit KB, Laptop","4.1","₹81,390","Organic"
"https://m.media-amazon.com/images/I/71r2ySSfgBL._AC_UY218_.jpg","HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop","4.2","₹89,990","Organic"
"https://m.media-amazon.com/images/I/41bdNUDc8pL._AC_UY218_.jpg","Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","3.6","₹36,990","Organic"
"https://m.media-amazon.com/images/I/71O1pUfzoYL._AC_UY218_.jpg","HP 15 Smartchoice, AMD Ryzen 7 7735HS (16GB DDR5,512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc1038AU, FHD Camera w/Shutter, Backlit Laptop","3.5","₹66,990","Organic"
"https://m.media-amazon.com/images/I/61XOR7fpbVL._AC_UY218_.jpg","Lenovo Ideapad 5 2-in-1 13th Gen Core i5-13420H (16GB RAM/512GB SSD/Windows 11/Office Home 2024/WUXGA IPS/14 (35.5cm)/Touchscreen 2-in-1/3Mon.Game Pass/Grey/1.6kg), 83KX0059IN Laptop","4.2","₹79,490","Organic"
"https://m.media-amazon.com/images/I/71ouu-iX3pL._AC_UY218_.jpg","Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop","N/A","₹42,990","Organic"
"https://m.media-amazon.com/images/I/71dyfY6G0aL._AC_UY218_.jpg","HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop","3.8","₹79,990","Organic"
"https://m.media-amazon.com/images/I/71odoZVRgaL._AC_UY218_.jpg","Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg), 83A0A0PCIN","4.3","₹70,990","Ad"
"https://m.media-amazon.com/images/I/71upqrupfYL._AC_UY218_.jpg","Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Silver","4.9","₹1,10,300","Ad"
"https://m.media-amazon.com/images/I/81PaO9Q1WFL._AC_UY218_.jpg","Lenovo Yoga Slim 7, Intel Core Ultra 5 125H, 16GB RAM, 512GB SSD, AI PC, WUXGA-OLED, 14""/35.5cm, Windows 11, Microsoft 365 Basic + Office 2024, Grey, 1.39Kg, 83CV00DFIN, AI Powered Laptop","4.3","₹84,990","Organic"
"https://m.media-amazon.com/images/I/71-8y5gh4bL._AC_UY218_.jpg","HP 15 Laptop, AMD Ryzen 5 7520U (16GB DDR5,512GB SSD) Win11,M365 Basic(1yr)*Office Home24, Anti-Glare,15.6''/39.6cm,FHD,Backlit KB,FHD Camera w/Privacy Shutter,Radeon Graphics, Silver,1.59kg FC0690AU","4.2","₹55,490","Organic"
"https://m.media-amazon.com/images/I/616Jpqwdp3L._AC_UY218_.jpg","ASUS Chromebook CX1405 (2026), Smartchoice,Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop","2.7","₹30,990","Organic"
"https://m.media-amazon.com/images/I/61BYfPSEqWL._AC_UY218_.jpg","𝗛𝗣𝗲𝗹𝗶𝘁𝗲𝗯𝗼𝗼𝗸Model 440 G3 Business Laptop | InteI i5 6th Gen | 8GB RAM - 256GB SSD | 14"" FHD Display | Ultra Slim Silver Body | Win 10 | A+ Condition (Refab)","4.0","₹24,500","Organic"
"https://m.media-amazon.com/images/I/71LFZxS09oL._AC_UY218_.jpg","HP Professional 15 (2026), Intel (i3 14th Gen) Core 3 100U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin & Light Business Laptop/15.6"" Display/Turbo Silver/Copilot Key/1.5kg/MS Office","N/A","₹48,992","Organic"
"https://m.media-amazon.com/images/I/616Jpqwdp3L._AC_UY218_.jpg","ASUS Chromebook CX1405 (2026), Smartchoice,Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop","3.7","₹36,990","Organic"
"https://m.media-amazon.com/images/I/71uWA12LM2L._AC_UY218_.jpg","Lenovo LOQ AMD Ryzen 5 7235HS | NVIDIA RTX 4050 6GB (16GB RAM/512GB SSD/144Hz Refresh Rate/15.6"" (39.6cm)/Windows 11/Office Home 2024/3 Mon. Game Pass/Grey/2.4Kg), 83JC00NYIN AI Gaming Laptop","4.3","₹86,990","Organic"
"https://m.media-amazon.com/images/I/81fYz-KdI6L._AC_UY218_.jpg","acer TravelLite Thin Laptop AMD Ryzen 5 7430U |16GB RAM, 512GB SSD | 14"" Full HD Anti-Glare Display |Privacy Shutter| Windows 11 | Metal Body | 1.34Kg | Black | 3 Year Warranty","3.0","₹49,799","Organic"
"https://m.media-amazon.com/images/I/718d4Eu7cFL._AC_UY218_.jpg","Apple 2026 MacBook Air 15″ Laptop with M5 chip: AI and Apple Intelligence, 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 1TB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight","5.0","₹1,51,700","Ad"
"https://m.media-amazon.com/images/I/71eX66ytH+L._AC_UY218_.jpg","Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 24GB Unified Memory, 1TB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight","5.0","₹1,47,100","Ad"
"https://m.media-amazon.com/images/I/61N2I4e0PNL._AC_UY218_.jpg","Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Citrus","4.7","₹65,000","Ad"
"https://m.media-amazon.com/images/I/71N04uIPZDL._AC_UY218_.jpg","HP OmniBook X Flip OLED (Previously Envy) Intel Core Ultra 5 226V, 40 Tops(16GB LPDDR5X,512GB SSD) 3K, Touch, 120hz,14''/35.6cm, Win11, Office24, Meteor Silver,1.38kg, fm0058TU,Pen, Next Gen AI Laptop","3.8","₹1,11,990","Ad"
"https://m.media-amazon.com/images/I/71FJAKQJ0JL._AC_UY218_.jpg","Dell G Series, 13th Gen Intel Core i5-13450HX, NVIDIA RTX 3050-6GB, 16GB DDR5, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, 2.65KG, G15-5530, Backlit Keyboard, Gaming Laptop","4.0","₹78,990","Organic"
"https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg","𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)","5.0","₹30,990","Organic"
"https://m.media-amazon.com/images/I/619floeDsCL._AC_UY218_.jpg","HP Professional 15 (2026), Intel (i3 14th Gen) Core 3 100U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin & Light Business Laptop/15.6"" Display/Turbo Silver/Copilot Key/1.5kg/MS Office","N/A","N/A","Organic"
"https://m.media-amazon.com/images/I/71SC8V59NjL._AC_UY218_.jpg","acer Aspire 14, 13th Gen, Intel Core i7-13620H Processors, 16 GB RAM, 512 GB SSD, Full HD IPS, 14""/35.56 cm, Windows 11 Home, MSO, Pure Silver, 1.44 kg, AS14H-53, Backlit KB, Thin and Light Laptop","3.7","₹65,990","Organic"
"https://m.media-amazon.com/images/I/51VYCUy+6rL._AC_UY218_.jpg","ASUS Vivobook 15, Thin & Light Laptop,(i5 14th Gen) Intel Core 5 120U (16GB/512GB SSD/Intel Graphics/ 15.6"" FHD/Windows 11 H/Office 2024+M365 Basic(1-Year)/Backlit KB/Terra Cotta), X1504VAP-BQ1543WS","N/A","₹59,490","Organic"
"https://m.media-amazon.com/images/I/71bIUPAleZL._AC_UY218_.jpg","ASUS Vivobook 15, 13th Gen, Intel Core i3-1315U, 16GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Cool Silver, 1.70 kg, X1504VA-BQ341WS, Laptop","4.2","₹52,800","Organic"
"https://m.media-amazon.com/images/I/61a0CSTcXkL._AC_UY218_.jpg","HP 15, Intel Core 5-Laptop (8GB DDR4,1TB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11, M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera,15-fd0549TU","3.8","₹56,990","Organic"
"https://m.media-amazon.com/images/I/61O2P+m2gIL._AC_UY218_.jpg","ASUS Vivobook 14, (i5 14th Gen) Intel Core 5 120U, Thin & Light Laptop(16GB RAM/512GB SSD/FHD/14/60Hz/Fingerprint Reader/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.4 Kg) X1404VAP-EB1542WS","4.0","₹64,480","Organic"
"https://m.media-amazon.com/images/I/61NJjTxLyiL._AC_UY218_.jpg","Apple 2026 MacBook Pro Laptop with M5 Max chip with 18‑core CPU and 40‑core GPU: Built for AI, 41.05 cm (16.2″) Liquid Retina XDR Display, 48GB Unified Memory, 2TB SSD Storage; Silver","4.3","₹4,99,900","Ad"
"https://m.media-amazon.com/images/I/81aZPvpkQ0L._AC_UY218_.jpg","Lenovo Yoga Slim 7 AI Laptop PC 2025 Aura Edition, Intel Core Ultra 7 258V, 32GB RAM, 1TB SSD, OLED, Copilot+ Lenovo AI Now, 47 Tops, 14""/35.5cm, Win 11, Office 24,Grey, 1.2 Kg, 83JX001MIN, AI Laptop","2.7","₹1,52,990","Ad"
"https://m.media-amazon.com/images/I/71mCBCzJ8nL._AC_UY218_.jpg","HP 15 Smartchoice, 13th Gen Intel Core i5-1334U (16GB DDR4, 1TB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr) Office24, Silver, 1.59kg, FD0552TU,Iris Xe, FHD Camera, Backlit Laptop","3.8","₹68,990","Organic"
"https://m.media-amazon.com/images/I/81Be1f26lVL._AC_UY218_.jpg","Lenovo IdeaPad Slim 3 13th Gen Intel Core i3-1315U 15.6 inch (39.6cm) FHD Laptop (8GB RAM/512GB SSD/Windows 11/Office 2024/Backlit Keyboard/1Yr ADP Free/3 Month Game Pass/Grey/1.6Kg), 82X700FXIN","3.1","₹49,650","Organic"
"https://m.media-amazon.com/images/I/81xbSMHZ0UL._AC_UY218_.jpg","Lenovo Yoga Slim 7 Intel Core Ultra 7 155H 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB RAM/1TB SSD/AI PC/2Wx4 Speakers/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00D3IN","4.8","₹1,29,990","Organic"
"https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg","Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, 1.63Kg","N/A","₹48,990","Organic"
"https://m.media-amazon.com/images/I/71XURoDxZ2L._AC_UY218_.jpg","HP Professional 14 (2025), Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" HD Display/Turbo Silver/1.4 Kg/MSO 2021","5.0","₹49,240","Organic"
"https://m.media-amazon.com/images/I/51oZp2EkLjL._AC_UY218_.jpg","HP Professional 14 (2026) – Intel Core 5 120U (14th Gen), 16GB RAM, 512GB SSD, Windows 11 Pro, MSO 2024, Copilot Key, Fingerprint Reader, Intel Iris Xe Graphics, 14″ FHD Display, 1.53Kg – Turbo Silver","5.0","₹63,650","Organic"
"https://m.media-amazon.com/images/I/71xYPGNHUkL._AC_UY218_.jpg","Certified Latitude 7420 Business Laptop – Core i5-1145G7, 16GB RAM, 512GB SSD, 14” Full HD, Win 11 Pro","N/A","₹34,990","Organic"
"https://m.media-amazon.com/images/I/716CyHXzWgL._AC_UY218_.jpg","ASUS Vivobook 16,Smartchoice, Intel Core Ultra 5 (Series 2),16GB RAM,512GB SSD,FHD+,16"",60Hz,Backlit Keyboard,Windows 11,M365 Basic (1Y), Office Home 2024,Blue,1.88 kg X1607CA-MB139WS, Thin & Light","4.4","₹67,990","Organic"
"https://m.media-amazon.com/images/I/71OjWwgFuEL._AC_UY218_.jpg","Apple 2026 MacBook Air 13″ laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Starlight","4.5","₹1,10,300","Ad"
"https://m.media-amazon.com/images/I/71kKQjKzW1L._AC_UY218_.jpg","Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 1TB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue","5.0","₹1,30,100","Ad"
"https://m.media-amazon.com/images/I/61N2I4e0PNL._AC_UY218_.jpg","Apple 2026 MacBook Neo 13"" Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Citrus","4.7","₹77,900","Ad"
"https://m.media-amazon.com/images/I/51XpiWaeMQL._AC_UY218_.jpg","Lenovo ThinkBook 16 AMD Ryzen 5 7535HS (8GB RAM/512GB SSD/Win 11 Home/Office 2024/Backlit Keyboard/Fingerprint) 16"" WUXGA IPS 300 Nits Thin & Light Laptop/1Y Warranty/Aluminium Top/1.7kg, 21MWA0BRIN","4.3","₹64,900","Ad"
"https://m.media-amazon.com/images/I/71K-77wHn2L._AC_UY218_.jpg","Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg),83K1011BIN","4.0","₹75,850","Organic"
"https://m.media-amazon.com/images/I/71Go8vTBwXL._AC_UY218_.jpg","HP 15, Intel Core 5 120U (14th Gen) 16GB DDR4, 512GB SSD, FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office24, Silver,1.59kg, FD0640TU/682tu, FHD Camera w/Shutter, BL Laptop","3.9","₹67,990","Organic"
"https://m.media-amazon.com/images/I/61tjQ9CkAhL._AC_UY218_.jpg","ASUS Zenbook 14 (2026),Smartchoice,Intel Core Ultra 9 285H,32GB RAM,1TB SSD,OLED,Touchscreen,14""(35.5 cm),Win 11,M365 Basic(1Y)* Office 24,Foggy Silver,1.28 Kg,UX3405CA-QL1113WS,Thin & Light Laptop","N/A","₹1,24,990","Organic"
